f_Hz,I,Q
6.996430000000000000e+09,1.775772249520881085e-01,8.855379757341910185e-01
6.996437140000000000e+09,1.802432955839226025e-01,8.834978325431621649e-01
6.996444280000000000e+09,1.811679421595337458e-01,8.879604619568027823e-01
6.996451420000000000e+09,1.820048112817545805e-01,8.842353321929846688e-01
6.996458560000000000e+09,1.849457844429351627e-01,8.866167601118559727e-01
6.996465700000000000e+09,1.859403081643877520e-01,8.845459102996724443e-01
6.996472840000000000e+09,1.901116981958894392e-01,8.808628925935411136e-01
6.996479980000000000e+09,1.947389759087425065e-01,8.809779572850493512e-01
6.996487120000000000e+09,1.931405817780589562e-01,8.821645021001688347e-01
6.996494260000000000e+09,1.949497996514283626e-01,8.809596878094561045e-01
6.996501400000000000e+09,1.992354836981967969e-01,8.804763869356276862e-01
6.996508540000000000e+09,2.010339095521836705e-01,8.793402531734715311e-01
6.996515680000000000e+09,2.025945760484199332e-01,8.758259847259097786e-01
6.996522820000000000e+09,2.025856898458198441e-01,8.785174218345449537e-01
6.996529960000000000e+09,2.064502573428521892e-01,8.740524686134928389e-01
6.996537100000000000e+09,2.099607494034612110e-01,8.787478492439083633e-01
6.996544240000000000e+09,2.079423332337371200e-01,8.760626666530014761e-01
6.996551380000000000e+09,2.117753777253089942e-01,8.755895938673771139e-01
6.996558520000000000e+09,2.109472286189212620e-01,8.760825372059640737e-01
6.996565660000000000e+09,2.142288717341527815e-01,8.765622787702558316e-01
6.996572800000000000e+09,2.151819488579594375e-01,8.726437822238707342e-01
6.996579940000000000e+09,2.204518973422029959e-01,8.714965233429059488e-01
6.996587080000000000e+09,2.204430266171074904e-01,8.723425951832554093e-01
6.996594220000000000e+09,2.255754579387029835e-01,8.698673425650412794e-01
6.996601360000000000e+09,2.274006010693875590e-01,8.714882379853965411e-01
6.996608500000000000e+09,2.287665570918398228e-01,8.760699111843190945e-01
6.996615640000000000e+09,2.261593604363159871e-01,8.702362489568137294e-01
6.996622780000000000e+09,2.321670861260277940e-01,8.731085739759416597e-01
6.996629920000000000e+09,2.351981836664855940e-01,8.685139034369759869e-01
6.996637060000000000e+09,2.375716291550797887e-01,8.713018887969425919e-01
6.996644200000000000e+09,2.363336676753149956e-01,8.695057217361701341e-01
